tax_id	species	genus	family	order	class	phylum	superkingdom	Sample001	Sample002	Sample003	Sample004	Sample005	Sample006	Sample007	Sample008	Sample009	Sample010	Sample011	Sample012	Sample013	Sample014	Sample015	Sample016	Sample017	Sample018	Sample019	Sample020	Sample021	Sample022	Sample023	Sample024	Sample025	Sample026	Sample027	Sample028	Sample029	Sample030	Sample031	Sample032	Sample033	Sample034	Sample035	Sample036	Sample037	Sample038	Sample039	Sample040	Sample041	Sample042	Sample043	Sample044	Sample045	Sample046	Sample047	Sample048	Sample049	Sample050	Sample051	Sample052	Sample053	Sample054	Sample055	Sample056	Sample057	Sample058	Sample059	Sample060	Sample061	Sample062	Sample063	Sample064	Sample065	Sample066	Sample067	Sample068	Sample069	Sample070	Sample071	Sample072	Sample073	Sample074	Sample075	Sample076	Sample077	Sample078	Sample079	Sample080	Sample081	Sample082	Sample083	Sample084	Sample085	Sample086	Sample087	Sample088	Sample089	Sample090	Sample091	Sample092	Sample093	Sample094	Sample095	Sample096	Sample097	Sample098	Sample099	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150	Sample151	Sample152	Sample153	Sample154	Sample155	Sample156	Sample157
ASV0001	prausnitzii	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	699	367	526	669	1678	418	1543	128	429	541	868	145	234	1657	413	0	0	857	456	28	28	354	0	263	184	0	60	953	490	490	345	145	469	469	404	605	48	705	1127	0	574	0	249	725	85	165	686	310	121	78	176	825	97	248	558	476	781	161	788	67	112	159	57	948	63	190	274	198	0	402	604	579	160	640	0	294	340	138	498	295	580	93	182	64	489	83	83	496	636	515	142	295	77	1088	811	634	900	0	234	178	0	981	52	446	383	449	178	297	694	1915	588	594	236	88	0	242	74	725	136	60	226	105	0	0	524	281	511	312	365	32	396	0	609	268	0	125	691	0	83	222	0	63	114	677	493	268	214	60	434	205	2215	431	43	104	48	707	0
ASV0002	NA	Agathobacter	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria	222	0	862	469	158	166	106	182	371	85	0	72	205	411	430	0	0	423	0	710	710	82	208	224	68	62	194	106	288	288	122	75	286	286	383	516	443	450	190	115	505	419	74	197	129	54	378	47	55	112	400	83	247	235	2561	27	569	0	233	48	48	340	215	415	203	113	301	0	0	87	2640	1076	106	990	148	450	0	56	0	485	453	186	114	466	396	188	188	111	964	0	231	293	0	321	339	0	57	42	158	111	233	336	46	268	0	564	234	43	506	917	31	0	59	128	0	511	0	252	660	240	1310	22	0	31	56	583	175	181	147	449	0	1259	497	1581	466	25	696	343	627	188	101	251	405	434	1392	95	820	269	84	353	999	896	0	227	110	569	39
ASV0003	prausnitzii	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	491	221	231	299	82	707	593	179	129	238	355	197	94	1353	448	1264	151	1240	100	0	0	72	67	110	103	66	71	385	41	41	126	343	757	757	699	822	223	410	409	283	129	63	215	125	60	475	80	510	638	94	27	86	66	155	1007	257	347	0	104	86	127	115	173	402	120	129	0	191	0	268	1014	67	71	87	388	35	187	236	693	415	241	314	375	83	0	149	149	307	829	281	131	203	58	818	710	185	134	55	516	91	40	2555	87	730	1434	696	180	122	318	672	81	251	189	239	21	149	164	505	240	94	425	357	785	132	330	399	220	140	0	146	238	1363	425	495	0	167	324	0	67	209	752	210	0	374	201	375	296	86	70	113	680	358	156	85	164	108	360
ASV0004	vulgatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	0	25	108	0	88	24	58	909	181	214	1291	36	189	161	295	2063	0	227	0	0	0	66	82	0	87	160	0	353	328	328	330	0	1996	1996	2083	628	273	1469	369	617	46	0	374	597	104	0	0	104	653	0	0	275	67	87	1224	22	180	248	836	568	1290	71	0	404	61	100	83	0	0	0	1285	0	50	0	0	0	204	456	104	525	428	93	348	74	102	78	78	0	0	0	642	0	1508	1609	79	235	69	0	410	57	422	0	577	20	40	2571	169	370	176	0	35	0	266	351	467	0	134	0	62	0	0	902	225	80	142	816	161	124	0	129	291	35	35	0	0	46	400	0	125	247	160	0	0	1603	1017	156	159	0	122	0	367	175	0	1013	97	0	200
ASV0005	NA	Blautia	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria	183	112	166	58	158	145	154	404	92	214	637	29	69	231	138	442	515	232	212	323	323	118	606	132	143	1205	124	298	166	166	98	76	460	460	363	203	491	402	934	1325	162	247	288	200	74	535	122	157	266	285	189	535	195	195	71	128	91	194	223	219	208	323	257	193	107	147	374	135	0	107	110	876	305	667	157	257	176	233	105	628	321	97	127	302	275	125	125	200	76	279	49	83	2267	181	501	220	308	357	134	331	297	506	225	157	778	157	188	232	95	85	109	483	51	81	295	234	76	245	42	150	217	244	332	68	109	190	276	46	123	389	283	239	324	294	206	136	39	192	179	124	161	637	479	496	126	85	168	16	353	173	131	221	595	253	300	172	514
ASV0006	prausnitzii	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	224	297	388	868	123	342	646	44	54	309	152	0	205	187	260	0	137	497	35	0	0	59	530	175	58	52	21	140	483	483	46	46	1843	1843	712	743	267	115	646	485	568	554	96	106	0	777	0	80	180	235	1023	0	120	53	217	378	118	204	123	33	59	50	48	161	77	40	0	78	0	165	183	1194	0	1274	0	31	43	430	365	234	385	23	672	25	313	75	75	203	170	383	116	621	323	1473	73	0	159	0	804	46	198	316	33	516	1270	375	135	281	99	245	154	341	143	353	227	61	261	195	121	0	760	334	0	49	120	146	103	203	0	29	57	69	261	937	0	153	79	0	43	149	0	0	793	137	125	32	90	104	492	622	99	100	23	0	118	0	0
ASV0007	NA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	2450	411	0	0	0	0	0	0	152	0	0	1039	0	0	1206	367	1488	64	767	190	190	0	0	412	117	0	294	37	0	0	0	0	329	329	0	0	39	0	0	0	0	0	0	58	0	0	876	71	84	414	281	0	0	68	0	584	0	29	70	191	169	545	44	0	0	0	0	0	0	33	0	0	75	0	0	500	95	0	71	0	279	90	714	19	0	0	0	41	0	50	338	1110	76	0	0	142	92	99	939	73	0	0	227	535	0	0	0	0	0	0	296	30	0	37	0	0	52	3215	1391	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	935	0	493	690	25	18	0	0	5171	0	0	65	340	0	0	1065	0	0	0	0	785	0	0
ASV0008	uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	694	158	72	0	331	0	74	0	127	91	296	215	0	0	267	17	215	179	444	0	0	151	45	540	88	0	0	464	70	70	99	0	104	104	447	792	91	37	3	76	33	1598	227	245	0	265	5	73	664	103	39	466	70	102	595	122	227	258	217	0	0	0	173	97	167	64	0	23	0	579	725	226	97	221	0	288	469	0	0	51	96	56	0	194	0	193	193	802	9	202	182	345	192	0	74	24	68	1152	0	119	22	238	0	121	13	425	200	0	223	939	304	531	0	56	1841	0	103	1058	0	0	366	0	690	117	0	0	75	257	0	39	676	87	111	527	0	0	148	0	335	73	0	169	142	52	383	250	120	0	106	180	464	0	133	125	762	58	144
ASV0009	muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria	0	0	116	0	0	15	0	836	233	84	0	979	0	25	0	0	0	0	0	0	0	455	0	510	0	0	0	0	0	0	573	0	0	0	0	470	0	16	0	0	103	0	0	0	46	0	0	536	0	0	0	390	283	0	0	0	51	0	0	0	18	0	22	0	0	575	0	27	0	0	0	0	0	0	0	0	321	58	0	0	0	0	0	214	0	0	0	0	0	0	634	0	0	0	7	224	0	251	0	0	130	0	0	204	0	0	816	0	49	0	162	0	0	0	1075	0	276	0	0	0	0	31	0	0	0	6	73	523	786	0	0	613	3349	0	3392	118	10	3663	286	304	1022	0	0	37	0	0	0	0	459	342	0	14	8	0	138	120	0
ASV0010	faecium	Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	0	0	0	0	298	0	43	397	18	7	348	0	0	0	235	0	292	23	242	0	0	0	297	0	129	27	20	170	39	39	203	0	18	18	974	15	328	1243	90	747	0	0	317	0	0	425	0	156	0	106	0	139	392	300	52	0	0	5	0	0	0	47	0	21	0	837	0	6	0	0	78	99	0	51	0	0	42	28	227	236	276	0	0	0	0	0	0	0	0	10	0	368	82	435	0	195	0	65	0	0	263	0	0	89	147	129	14	0	0	0	0	20	11	0	0	32	6	0	104	0	339	83	356	0	0	33	900	49	0	1861	32	0	3254	449	1098	0	98	880	6	0	0	0	507	1335	0	0	165	0	212	0	113	64	9	213	399	4	58
ASV0011	NA	Subdoligranulum	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	209	208	174	26	91	32	45	230	231	117	100	100	60	120	107	529	141	81	216	400	400	238	242	56	0	201	168	140	288	288	115	16	77	77	252	69	14	0	178	0	182	0	255	254	49	80	0	59	139	78	0	200	14	212	0	113	290	0	301	402	124	390	65	124	158	20	0	210	306	128	0	288	154	285	45	100	184	145	321	106	204	15	83	80	0	172	172	163	48	126	302	191	0	536	425	341	165	147	114	196	216	79	454	0	68	139	0	219	210	152	282	119	400	293	0	56	57	257	71	160	200	131	0	65	0	120	73	80	633	77	197	322	140	254	0	229	175	0	106	85	10	597	0	0	130	209	54	60	233	151	141	106	38	799	343	173	111
ASV0012	putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	138	164	33	0	188	27	49	513	75	104	643	731	0	157	41	0	67	56	319	14	14	247	0	46	114	0	169	186	0	0	42	0	28	28	292	0	0	241	227	16	8	0	33	0	187	440	0	291	198	139	85	215	185	147	51	237	162	116	0	0	111	100	303	107	155	372	0	0	0	277	49	213	632	194	0	123	90	53	219	11	119	81	0	168	0	122	122	345	13	43	125	378	559	0	309	1430	114	0	0	717	0	0	0	0	0	641	0	282	184	0	808	53	433	5	0	0	208	194	197	354	0	191	0	70	0	0	41	116	138	7	140	0	358	0	46	0	110	32	246	194	189	465	0	357	115	11	149	0	299	418	164	179	88	241	499	0	184
