SampleID	Ethnicity	Gender	SampleType
Sample001	Caucasian	Female	sample
Sample002	Caucasian	Female	sample
Sample003	Caucasian	Female	sample
Sample004	Caucasian	Female	sample
Sample005	Caucasian	Female	sample
Sample006	Caucasian	Female	sample
Sample007	Caucasian	Female	sample
Sample008	Caucasian	Female	sample
Sample009	Caucasian	Female	sample
Sample010	Caucasian	Female	sample
Sample011	Caucasian	Female	sample
Sample012	Caucasian	Female	sample
Sample013	Caucasian	Female	sample
Sample014	Caucasian	Female	sample
Sample015	Caucasian	Female	sample
Sample016	Caucasian	Female	sample
Sample017	Caucasian	Female	sample
Sample018	Caucasian	Female	sample
Sample019	Caucasian	Female	sample
Sample020	Caucasian	Female	sample
Sample021	Caucasian	Female	sample
Sample022	Caucasian	Female	sample
Sample023	Caucasian	Female	sample
Sample024	Caucasian	Female	sample
Sample025	Caucasian	Female	sample
Sample026	Caucasian	Female	sample
Sample027	Caucasian	Female	sample
Sample028	Caucasian	Female	sample
Sample029	Caucasian	Female	sample
Sample030	Caucasian	Female	sample
Sample031	Caucasian	Female	sample
Sample032	Caucasian	Female	sample
Sample033	Caucasian	Female	sample
Sample034	Caucasian	Female	sample
Sample035	Caucasian	Female	sample
Sample036	Caucasian	Female	sample
Sample037	Caucasian	Female	sample
Sample038	Caucasian	Female	sample
Sample039	Caucasian	Female	sample
Sample040	Caucasian	Female	sample
Sample041	Caucasian	Male	sample
Sample042	Caucasian	Male	sample
Sample043	Caucasian	Male	sample
Sample044	Caucasian	Male	sample
Sample045	Caucasian	Male	sample
Sample046	Caucasian	Male	sample
Sample047	Caucasian	Male	sample
Sample048	Caucasian	Male	sample
Sample049	Caucasian	Male	sample
Sample050	Caucasian	Male	sample
Sample051	Caucasian	Male	sample
Sample052	Caucasian	Male	sample
Sample053	Caucasian	Male	sample
Sample054	Caucasian	Male	sample
Sample055	Caucasian	Male	sample
Sample056	Caucasian	Male	sample
Sample057	Caucasian	Male	sample
Sample058	Caucasian	Male	sample
Sample059	Caucasian	Male	sample
Sample060	Caucasian	Male	sample
Sample061	Caucasian	Male	sample
Sample062	Caucasian	Male	sample
Sample063	Caucasian	Male	sample
Sample064	Caucasian	Male	sample
Sample065	Caucasian	Male	sample
Sample066	Caucasian	Male	sample
Sample067	Chinese	Female	sample
Sample068	Chinese	Female	sample
Sample069	Chinese	Female	sample
Sample070	Chinese	Female	sample
Sample071	Chinese	Female	sample
Sample072	Chinese	Female	sample
Sample073	Chinese	Female	sample
Sample074	Chinese	Female	sample
Sample075	Chinese	Female	sample
Sample076	Chinese	Female	sample
Sample077	Chinese	Female	sample
Sample078	Chinese	Female	sample
Sample079	Chinese	Female	sample
Sample080	Chinese	Female	sample
Sample081	Chinese	Female	sample
Sample082	Chinese	Female	sample
Sample083	Chinese	Female	sample
Sample084	Chinese	Female	sample
Sample085	Chinese	Female	sample
Sample086	Chinese	Female	sample
Sample087	Chinese	Female	sample
Sample088	Chinese	Female	sample
Sample089	Chinese	Female	sample
Sample090	Chinese	Female	sample
Sample091	Chinese	Female	sample
Sample092	Chinese	Female	sample
Sample093	Chinese	Female	sample
Sample094	Chinese	Female	sample
Sample095	Chinese	Female	sample
Sample096	Chinese	Female	sample
Sample097	Chinese	Female	sample
Sample098	Chinese	Female	sample
Sample099	Chinese	Female	sample
Sample100	Chinese	Female	sample
Sample101	Chinese	Female	sample
Sample102	Chinese	Female	sample
Sample103	Chinese	Female	sample
Sample104	Chinese	Female	sample
Sample105	Chinese	Female	sample
Sample106	Chinese	Female	sample
Sample107	Chinese	Female	sample
Sample108	Chinese	Female	sample
Sample109	Chinese	Female	sample
Sample110	Chinese	Female	sample
Sample111	Chinese	Female	sample
Sample112	Chinese	Female	sample
Sample113	Chinese	Female	sample
Sample114	Chinese	Female	sample
Sample115	Chinese	Female	sample
Sample116	Chinese	Female	sample
Sample117	Chinese	Female	sample
Sample118	Chinese	Female	sample
Sample119	Chinese	Female	sample
Sample120	Chinese	Female	sample
Sample121	Chinese	Male	sample
Sample122	Chinese	Male	sample
Sample123	Chinese	Male	sample
Sample124	Chinese	Male	sample
Sample125	Chinese	Male	sample
Sample126	Chinese	Male	sample
Sample127	Chinese	Male	sample
Sample128	Chinese	Male	sample
Sample129	Chinese	Male	sample
Sample130	Chinese	Male	sample
Sample131	Chinese	Male	sample
Sample132	Chinese	Male	sample
Sample133	Chinese	Male	sample
Sample134	Chinese	Male	sample
Sample135	Chinese	Male	sample
Sample136	Chinese	Male	sample
Sample137	Chinese	Male	sample
Sample138	Chinese	Male	sample
Sample139	Chinese	Male	sample
Sample140	Chinese	Male	sample
Sample141	Chinese	Male	sample
Sample142	Chinese	Male	sample
Sample143	Chinese	Male	sample
Sample144	Chinese	Male	sample
Sample145	Chinese	Male	sample
Sample146	Chinese	Male	sample
Sample147	Chinese	Male	sample
Sample148	Chinese	Male	sample
Sample149	Chinese	Male	sample
Sample150	Chinese	Male	sample
Sample151	Chinese	Male	sample
Sample152	Chinese	Male	sample
Sample153	Chinese	Male	sample
Sample154	Chinese	Male	sample
Sample155	Chinese	Male	sample
Sample156	Chinese	Male	sample
Sample157	Chinese	Male	sample
