taxon	lfc_(Intercept)	lfc_EthnicityChinese	lfc_GenderMale	se_(Intercept)	se_EthnicityChinese	se_GenderMale	W_(Intercept)	W_EthnicityChinese	W_GenderMale	p_(Intercept)	p_EthnicityChinese	p_GenderMale	q_(Intercept)	q_EthnicityChinese	q_GenderMale	diff_(Intercept)	diff_EthnicityChinese	diff_GenderMale	passed_ss_(Intercept)	passed_ss_EthnicityChinese	passed_ss_GenderMale	diff_robust_(Intercept)	diff_robust_EthnicityChinese	diff_robust_GenderMale
aerofaciens_Collinsella	-0.16438966929521	0.3211153020608	0.0341811660311934	0.141551350176045	0.176823233616121	0.174603409380625	-1.16134299736993	1.81602437357262	0.195764596765007	0.247846292082451	0.0719055064694294	0.845131138716572	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
bacterium_Erysipelotrichaceae UCG-003	0.0607112590977342	0.0693905395636406	-0.221467255277801	0.107560382485202	0.153347002657821	0.163157483669377	0.564438854669255	0.452506657195503	-1.35738337155642	0.573526859449878	0.651734852529681	0.17724988566959	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
bacterium_Lachnospiraceae NK4A136 group	0.069885243484955	-0.00885913106189877	-0.139106119819441	0.0792171530999228	0.110866417507812	0.11923377633297	0.882198371819842	-0.0799081566902305	-1.16666706446482	0.381891188174574	0.936629280083692	0.248879240771721	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Intestinibacter	0.473644829685517	-0.727920172278718	-0.270561592177455	0.128968980810352	0.150791763087101	0.147119672005177	3.67254844311757	-4.82732052053967	-1.83905788049836	0.000603272315999546	1.44779823948222e-05	0.0720968494063425	0.0748057671839437	0.00199796157048546	1	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
bicirculans_Ruminococcus	0.27758066676122	-0.0380086219946358	-0.447284180578135	0.1330544890264	0.163240982010894	0.166141462732817	2.08621797575085	-0.232837499054614	-2.692188772272	0.0413664535124184	0.816707315511016	0.00926254673273862	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
bifidum_Bifidobacterium	0.00010010377476734	-0.0224746795186422	0.0105607509502114	0.0683728920593715	0.0988524035823625	0.112008702459763	0.00146408571807106	-0.227355923621185	0.0942850931962649	0.9988511231135	0.823216708532722	0.926130630826088	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
bromii_Ruminococcus	-0.0332782227777309	0.163516878431748	-0.0601744780252139	0.113281156783067	0.141623183590719	0.147925820008679	-0.293766622117557	1.15459117840692	-0.406788199799626	0.76984434868497	0.252359414767162	0.685460142310119	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
caccae_Bacteroides	-0.274112552243571	0.370581414546788	0.202399620030569	0.130007762969958	0.17296031666921	0.173975936298329	-2.10843218882947	2.14258057387541	1.16337709879314	0.0373727850465253	0.0344574082618806	0.24731351468576	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
callidus_Ruminococcus	0.0825381823959881	-0.0099498016269717	0.0266594555709702	0.0742495249409494	0.105778959841196	0.117516646337527	1.11163246447207	-0.0940621995329613	0.226856844556302	0.2760970959929	0.925754318404136	0.822243917546495	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
catus_Coprococcus	-0.0151782887076924	0.131664360457433	-0.127126698914244	0.083590043050197	0.115985918539468	0.123942300217854	-0.181580103967379	1.13517539124915	-1.02569258994542	0.856295105751464	0.259128122339793	0.30761408384801	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
comes_Coprococcus	-0.0260486164479439	0.0519769806271522	0.0931780456655842	0.0919417404194627	0.131260979234326	0.140841447069413	-0.283316547295093	0.395981966082726	0.661581143934582	0.777452586910326	0.692865014397989	0.50958649625803	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
copri_Prevotella_9	1.03751988850066	-0.562249248914161	-1.17948394797748	0.0851974301839956	0.116252634122978	0.127738505300996	12.1778307897315	-4.83644308927559	-9.23358188040641	2.0201017586284e-10	0.000114675750555193	1.87117134083231e-08	2.84834347966604e-08	0.015481226324951	2.65706330398188e-06	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
coprocola_Bacteroides	0.348506653980804	-0.155328729373118	-0.410586628581861	0.0797710753308565	0.115993619562524	0.12989636960187	4.3688348506692	-1.33911442680164	-3.16087839745099	0.000224524396132243	0.193618335079604	0.00436788393063785	0.0289636471010593	1	0.537249723468455	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
dispar_Veillonella	-0.206114942666211	0.363515655734382	-0.185908401569989	0.0714825747296624	0.110817909955859	0.120856615525349	-2.88342919159963	3.28029698339535	-1.53825589738607	0.0103184555048166	0.00441385000193268	0.142390724233912	1	0.498765050218393	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
distasonis_Parabacteroides	-0.066381737814428	0.0149735467404473	0.125823011847168	0.154865836560413	0.184959565576826	0.186844445141891	-0.4286402946497	0.0809557845453942	0.673410503328674	0.668940887040906	0.935609772887381	0.501959900269693	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
edouardi_Lachnoclostridium	-0.107019864934094	0.145167484461641	0.108451844751715	0.111131800265575	0.142535555120184	0.14449745062257	-0.962999471603499	1.01846507237606	0.750545039268499	0.337452663049984	0.310472441221374	0.454371636873441	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
eggerthii_Bacteroides	-0.894903244341817	1.06045011495449	0.187538817069854	0.0901963280786221	0.129095799344889	0.143379138919472	-9.92172589954826	8.21444323003432	1.30799235148974	3.19524039475001e-12	4.90918303822013e-10	0.198533353186544	4.53724136054502e-10	6.97103991427258e-08	1	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
equolifaciens_Adlercreutzia	0.119028729410821	-0.191440379950974	-0.0288526057409297	0.0845523950913233	0.111189397384583	0.119201292012556	1.40775112617757	-1.72175031481481	-0.242049438003495	0.171518283160089	0.0974676989804759	0.810716425814278	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
