sample	input	filtered	denoised	merged	nonchim
Sample001	30987	27000	25452	21118	10197
Sample002	26215	22019	18549	14459	11988
Sample003	28082	23885	22093	16952	10715
Sample004	26840	22490	20250	16068	9955
Sample005	29071	25202	23608	19498	11309
Sample006	29018	24386	22296	17708	10799
Sample007	27871	23221	21909	17707	11395
Sample008	27634	23783	21650	18110	11576
Sample009	26680	22626	19327	15056	11711
Sample010	27317	23814	20913	15478	9861
Sample011	29293	25471	24375	21712	17060
Sample012	27107	23639	21274	18126	13187
Sample013	29011	25618	23724	19547	11574
Sample014	36651	31291	29787	25695	18318
Sample015	25569	21749	20413	16846	11189
Sample016	28295	23685	22848	20510	14072
Sample017	29285	25224	23856	19589	11228
Sample018	27884	23494	21494	16943	10707
Sample019	29655	25253	22368	17649	12843
Sample020	28752	24224	22904	18999	10212
Sample021	28752	24224	22904	18999	10212
Sample022	26152	21820	19084	14841	11719
Sample023	26594	22450	20823	17642	10856
Sample024	28577	24183	20364	16087	12921
Sample025	27833	23719	20835	16613	11586
Sample026	28769	24728	23396	19800	8563
Sample027	26814	22887	19361	14906	10340
Sample028	28666	24908	22456	17134	11040
Sample029	30127	26087	24588	19182	9647
Sample030	30127	26087	24588	19182	9647
Sample031	25784	21473	19254	16368	13529
Sample032	27570	22667	21604	18817	9614
Sample033	30209	26573	25096	21851	16632
Sample034	30209	26573	25096	21851	16632
Sample035	29173	25054	23639	20564	16493
Sample036	27978	23918	22319	17880	11061
Sample037	26880	22655	21212	17996	12281
Sample038	28967	25368	23925	19451	11633
Sample039	29013	25006	24086	21567	17702
Sample040	29801	25621	24632	20880	11181
Sample041	28417	24456	22781	18080	11049
Sample042	29076	24576	23793	22190	13064
Sample043	28322	24687	22479	17380	11942
Sample044	28892	24920	23048	18420	10577
Sample045	26679	22593	19932	16154	10874
Sample046	26772	23239	21136	16939	10984
Sample047	27354	22427	21076	17269	10016
Sample048	27240	23245	21008	16394	11787
Sample049	28388	24606	22194	16978	9149
Sample050	28406	24057	22309	17815	12191
Sample051	28895	24793	23542	18704	8702
Sample052	28026	24060	21786	17464	11674
Sample053	26733	22674	20378	16443	10349
Sample054	27028	22938	19411	14708	9008
Sample055	31512	27567	26777	22851	12380
Sample056	33103	27838	23960	18028	11940
Sample057	28474	24600	22725	17951	11259
Sample058	34083	28765	27166	22200	11770
Sample059	28614	24713	23084	18675	11142
Sample060	27895	23615	21751	18172	11914
Sample061	29686	26008	24441	20255	12215
Sample062	33815	28726	24964	18964	13979
Sample063	26724	22327	19779	16554	11795
Sample064	29224	25470	23614	18961	11128
Sample065	27402	23305	20745	16325	10444
Sample066	27740	23982	21246	16847	10641
Sample067	26762	22277	21207	18607	11655
Sample068	26389	22003	19465	16540	12666
Sample069	28945	23329	22968	21754	16038
Sample070	27145	23180	20512	15998	10827
Sample071	28822	24645	23441	20439	16115
Sample072	29948	25958	24648	20220	10726
Sample073	26634	22227	20430	17108	12553
Sample074	29452	25485	24086	19629	9645
Sample075	36936	31521	30306	25795	15023
Sample076	26762	22448	19987	15145	10373
Sample077	26805	22691	20405	16490	11581
Sample078	26747	22537	19366	15084	10429
Sample079	28287	24134	22982	19608	11876
Sample080	27559	23715	22144	18159	11856
Sample081	28549	24549	22741	17450	12328
Sample082	27228	23458	21449	17836	12641
Sample083	26623	22734	21141	17038	10463
Sample084	27187	23079	21270	17289	9938
Sample085	29901	26259	25148	21706	12061
Sample086	27488	23468	20934	16344	10645
Sample087	27488	23468	20934	16344	10645
Sample088	34036	28589	25536	20244	13637
Sample089	28915	24396	23281	20949	12969
Sample090	27146	23028	20365	15699	11174
Sample091	27794	23814	20615	15688	10115
Sample092	29103	25397	23336	18079	11209
Sample093	29629	25363	24506	21580	11360
Sample094	31710	27400	26661	24673	18672
Sample095	27815	23921	22131	18980	16250
Sample096	27602	23868	21407	16658	11037
Sample097	28271	24313	21645	16823	9306
Sample098	26411	22008	19634	15900	10895
Sample099	29681	25841	24397	19991	12500
Sample100	26598	22715	21215	18759	15478
Sample101	28247	24142	22469	18484	9846
Sample102	29341	24957	23794	20485	15886
Sample103	27987	23945	22131	19114	13636
Sample104	27168	23199	20818	15964	9744
Sample105	26504	21912	20997	18810	13034
Sample106	30575	26964	25487	22127	14221
Sample107	25771	20107	17806	14091	9309
