taxon	lfc_(Intercept)	lfc_EnvironmentFreshwater	lfc_EnvironmentSaline	se_(Intercept)	se_EnvironmentFreshwater	se_EnvironmentSaline	W_(Intercept)	W_EnvironmentFreshwater	W_EnvironmentSaline	p_(Intercept)	p_EnvironmentFreshwater	p_EnvironmentSaline	q_(Intercept)	q_EnvironmentFreshwater	q_EnvironmentSaline	diff_(Intercept)	diff_EnvironmentFreshwater	diff_EnvironmentSaline	passed_ss_(Intercept)	passed_ss_EnvironmentFreshwater	passed_ss_EnvironmentSaline	diff_robust_(Intercept)	diff_robust_EnvironmentFreshwater	diff_robust_EnvironmentSaline
Acidovoraxdelafieldii_Acidovorax	0.555327353657176	1.77726257347195	-1.28650754752236	0.682135503593617	0.843905106827496	0.893509082596181	0.814101231693129	2.10599812596613	-1.43983712374169	0.428322347156144	0.0524596013658216	0.170457218805704	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Acinetobacterjohnsonii_Acinetobacter	2.16804646657559	-1.97235930041986	-2.36160674867816	0.731216722957744	1.01197252849674	1.09778788569765	2.96498479658113	-1.94902454847243	-2.15124140049819	0.010237629100789	0.0716187481553442	0.0494026361936305	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Acinetobacterlwoffii_Acinetobacter	1.68207509830247	-1.39261527604657	-3.21230440755741	0.639136122915732	1.12669018315412	0.740253805891475	2.63179475857014	-1.23602326253345	-4.33946354884172	0.0250847642019378	0.244696052886645	0.00146760796893501	1	1	0.707387041026675	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Acinetobacterradioresistens_Acinetobacter	3.01438260757474	-4.80258856342886	-5.07861777621429	0.200103873026154	0.577941218856284	0.477696713305251	15.0640892751773	-8.30982184128159	-10.6314689524963	0.000635031058753689	0.00365178563858363	0.00177839650494221	0.299099628672988	1	0.844738339847548	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Acinetobactertjernbergiae_Acinetobacter	1.7336371644294	-1.96279556607405	-2.33959591918666	0.47000023759001	0.720094912372878	0.627664463647363	3.68858784693145	-2.72574563762183	-3.7274627682301	0.0141664244058804	0.0414899333593369	0.0136066406867122	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Acinetobacterursingii_Acinetobacter	2.5791533598148	-3.30247589931497	-3.6727408129547	0.530579189716384	0.734965886025415	0.671119270416412	4.86101492445163	-4.49337304235202	-5.47256050429883	0.00183302120252108	0.00282064648876654	0.000933317475638774	0.808362350311798	1	0.461058832965555	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Actinobacillusporcinus_Actinobacillus	1.99677215976351	-1.57077067574919	-2.88447593364869	1.09908252760824	1.32419628105444	1.22246093524416	1.81676271763575	-1.18620683219138	-2.3595649157268	0.0869268166102145	0.251855162017041	0.030517214801813	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Actinotalea	1.29459340010875	-0.508933442328327	-2.48351585939697	0.289681509951207	0.662128345118273	0.501163628164177	4.46902323978777	-0.768632616441482	-4.9554990023805	0.00424185949015641	0.471272792452319	0.00256378013757087	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Aggregatibacter	2.74404069004699	-3.0610096210594	-5.19024507396978	0.566352034290215	0.799157798364669	0.69770626536918	4.84511491776661	-3.83029437655892	-7.43901170390586	0.0028658427614764	0.00865619057782209	0.00030388425617871	1	1	0.153765433626427	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
Akkermansiamuciniphila_Akkermansia	2.00636644421886	-3.0728850202048	-4.23461333494937	0.887168080564015	1.08342822053798	0.972599618785327	2.26154038696175	-2.83626082647078	-4.35391218869482	0.0581990169319378	0.0251791732866402	0.00333887869088989	1	1	1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
