tax_id	AQC1cm	AQC4cm	AQC7cm	Even1	Even2	Even3	F21Plmr	LMEpi24M	M11Fcsw	M11Plmr	M11Tong	M31Fcsw	M31Plmr	M31Tong	NP2	NP3	NP5	SLEpi20M	TRRsed1	TRRsed2	TRRsed3	TS28	TS29
549322	27	100	130	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
46043	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	431	0	0	1	2	0	0
540305	1	1	1	22	0	0	0	2	0	0	0	0	0	1	2	4	5	0	63	1320	2305	4	0
321018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	9	116	0	0
155526	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	37	426	1	0
197473	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	98	0	0
315545	2	2	0	1	0	1	1	0	0	0	1	0	0	10	1	117	727	0	217	921	694	0	0
348549	0	0	0	4	1	0	0	0	0	1	0	1	0	8	1	47	771	0	176	440	340	0	0
108964	1	0	1	21	0	2	6	1	0	2	0	0	0	1	3	7	1	0	166	3437	6404	10	3
568724	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10	2	0	3	151	117	0	0
175045	0	1	2	27	1	0	2	3	1	0	0	0	0	0	1	6	3	0	83	1692	3030	5	0
71074	0	1	0	4	3	30	58	1	0	48	0	1	23	2	0	1	0	1	9	118	51	0	1
142115	3	81	72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
238793	17	196	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
515691	18	187	213	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
525464	10	94	114	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
455926	8	122	139	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0
246371	143	1730	1874	2	0	0	0	10	0	0	1	0	0	0	10	0	0	13	1	1	1	0	1
254458	63	796	840	1	0	0	0	4	0	0	2	0	0	0	4	0	0	2	1	0	0	0	0
245697	646	6350	6459	6	1	1	0	19	1	0	1	1	0	2	42	2	3	31	0	2	0	0	0
45742	28	321	205	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
251993	6	60	43	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
462098	6	113	81	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
570593	11	124	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
104332	0	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	86	0	1
200619	1	10	6	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	233	1	0
236606	5	90	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248224	9	53	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	170	0	1	0	0	0	0
62881	237	600	691	3	0	0	0	2	0	0	1	0	0	1	3	1	0	2	0	0	0	0	0
329648	37	166	210	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
547371	194	257	265	0	1	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
140729	98	132	125	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
319002	1784	9254	11824	21	5	1	0	46	0	0	6	1	0	3	73	9	8	51	0	2	0	2	1
219191	29	150	186	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
410763	2	62	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412056	26	110	129	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
250392	160	56	16	10	5	8	1	7	0	11	11	2	2	194	1396	42696	24854	2	56	14	1	3	1
308755	0	0	0	0	0	0	0	0	0	0	0	0	0	4	59	18	1014	0	1	0	0	0	0
255494	1	9	1	0	0	0	0	0	0	2	2	0	0	30	60	159	3386	0	8	2	0	0	0
146866	1	1	0	0	0	0	1	0	0	0	0	0	0	13	34	23	1026	0	2	1	0	0	1
155847	1	6	1	0	0	1	0	0	0	0	1	0	0	15	94	16	1369	0	4	0	0	0	1
715	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	21	187	0	2	0	0	0	0
79	23	70	86	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
77878	634	2083	2518	2	0	1	0	20	0	1	2	0	0	2	17	3	1	22	1	1	0	1	2
101553	26	71	59	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1
134	62	369	291	1	0	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0
227785	7	0	0	2	0	2	0	1	54	0	0	27	0	4	0	1	1	0	0	1	11	1566	1668
228569	21	98	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246686	21	125	89	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
368907	0	0	0	0	0	0	20	1	0	292	2	0	254	1	0	0	0	0	0	0	0	0	0
263308	0	1	0	0	0	0	29	0	0	62	0	0	12	0	0	0	0	0	0	6	4	0	0
586825	25	42	30	1	0	1	17	0	0	41	1	0	31	0	0	2	0	1	0	4	1	0	0
204284	0	0	0	0	1	0	22	0	0	71	1	0	10	0	0	1	0	1	0	0	1	0	0
154113	0	0	0	0	0	0	23	0	0	67	2	0	12	2	0	0	0	0	0	2	0	0	0
559914	0	0	0	0	0	0	0	0	0	41	0	1	4	0	0	85	0	1	0	1	0	0	0
531515	0	1	0	0	0	0	19	1	0	64	0	0	12	0	0	0	0	0	0	4	1	0	0
365828	20	11	7	0	1	2	48	0	0	104	0	0	26	0	0	14	0	0	1	6	3	0	0
137878	1	0	0	1	1	1	95	0	1	111	1	0	31	2	0	0	0	0	0	0	0	0	0
208818	0	1	0	0	1	1	39	0	0	80	1	0	6	0	0	0	0	5	0	2	0	0	0
271885	7	82	91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
67031	33	269	292	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
12812	302	632	94	44	15	31	12	38	13	12	115	7	7	1888	15527	15682	161687	23	297	36	17	28	14
335721	0	9	0	0	1	0	0	0	0	0	0	0	1	1	202	1	63	0	0	0	0	0	0
241082	3	30	9	1	0	1	0	1	1	0	0	0	0	2	898	0	215	0	0	3	0	0	0
349592	6	49	11	5	0	0	1	0	0	1	2	0	1	24	1739	41	2906	4	8	2	0	1	1
512499	41	50	44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
160075	36	56	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
543676	104	71	51	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
215846	290	414	498	1	0	0	0	1	0	0	0	0	0	1	1	0	0	50	0	0	1	0	0
145898	85	72	18	0	0	0	0	0	0	2	0	0	0	0	0	1	1	8	0	0	0	0	0
229799	4	9	4	0	0	0	0	0	0	0	0	0	0	6	8	9	701	0	0	0	0	0	0
330721	0	2	0	0	0	1	0	0	0	0	1	0	0	6	26	7	297	0	1	0	0	0	0
228452	3	13	4	1	1	0	0	0	1	0	0	0	0	3	272	11	427	1	0	10	2	0	0
317641	231	240	212	2	1	0	0	311	0	2	6	0	0	0	0	0	0	373	0	9	2	0	2
222364	37	21	11	0	0	0	0	1	0	39	1	0	1	0	0	0	0	3	1	5	2	0	0
223441	60	77	71	1	2	0	1	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
512041	50	81	60	2	2	2	6	9	0	2	0	0	2	1	1	1	1	1	1	0	0	0	0
125157	28	94	57	2	0	1	0	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
