multipatt IndVal.g summary (verbatim):

 Multilevel pattern analysis
 ---------------------------

 Association function: IndVal.g
 Significance level (alpha): 0.05

 Total number of species: 4190
 Selected number of species: 2203 
 Number of species associated to 1 group: 2080 
 Number of species associated to 2 groups: 123 

 List of species associated to each combination: 

 Group Freshwater  #sps.  1146 
        stat p.value    
3343   1.000  0.0001 ***
310487 1.000  0.0001 ***
6370   1.000  0.0001 ***
328795 1.000  0.0001 ***
580578 1.000  0.0001 ***
322506 1.000  0.0001 ***
554284 1.000  0.0001 ***
397003 1.000  0.0001 ***
362018 1.000  0.0001 ***
558514 1.000  0.0001 ***
572138 0.998  0.0005 ***
142703 0.998  0.0003 ***
550108 0.997  0.0002 ***
154435 0.997  0.0003 ***
378092 0.997  0.0009 ***
324241 0.997  0.0008 ***
579213 0.997  0.0001 ***
558023 0.996  0.0004 ***
278075 0.996  0.0003 ***
329653 0.996  0.0027 ** 
8098   0.996  0.0004 ***
385507 0.996  0.0001 ***
202171 0.995  0.0017 ** 
534688 0.995  0.0007 ***
245697 0.995  0.0004 ***
244867 0.995  0.0025 ** 
263319 0.994  0.0004 ***
532903 0.994  0.0006 ***
224427 0.994  0.0002 ***
319002 0.994  0.0004 ***
203996 0.993  0.0019 ** 
165384 0.993  0.0019 ** 
56266  0.993  0.0007 ***
105395 0.993  0.0105 *  
142645 0.993  0.0026 ** 
142773 0.993  0.0005 ***
586738 0.993  0.0007 ***
137480 0.992  0.0003 ***
202572 0.992  0.0009 ***
230801 0.992  0.0003 ***
544356 0.992  0.0051 ** 
534747 0.992  0.0007 ***
549388 0.992  0.0012 ** 
279993 0.992  0.0005 ***
245670 0.991  0.0003 ***
77878  0.990  0.0006 ***
342757 0.990  0.0005 ***
252035 0.990  0.0013 ** 
140458 0.989  0.0001 ***
525648 0.989  0.0002 ***
237754 0.989  0.0005 ***
513254 0.988  0.0001 ***
323726 0.988  0.0027 ** 
368509 0.987  0.0002 ***
235395 0.986  0.0005 ***
284052 0.986  0.0020 ** 
228981 0.985  0.0001 ***
10733  0.985  0.0027 ** 
286918 0.985  0.0032 ** 
574956 0.984  0.0001 ***
5552   0.983  0.0015 ** 
323221 0.983  0.0001 ***
242288 0.982  0.0016 ** 
98295  0.982  0.0001 ***
565133 0.982  0.0019 ** 
7606   0.981  0.0029 ** 
67839  0.981  0.0001 ***
355132 0.980  0.0021 ** 
252398 0.980  0.0197 *  
142726 0.979  0.0004 ***
213042 0.978  0.0041 ** 
324539 0.976  0.0012 ** 
19989  0.975  0.0003 ***
127471 0.975  0.0018 ** 
331093 0.974  0.0112 *  
107623 0.972  0.0010 ***
356823 0.972  0.0001 ***
137170 0.972  0.0001 ***
510993 0.971  0.0001 ***
265716 0.970  0.0001 ***
119723 0.970  0.0001 ***
124653 0.970  0.0001 ***
320002 0.969  0.0001 ***
586984 0.968  0.0002 ***
572428 0.968  0.0002 ***
317641 0.968  0.0001 ***
113378 0.967  0.0001 ***
179289 0.966  0.0010 ***
576053 0.965  0.0001 ***
119231 0.964  0.0011 ** 
306159 0.964  0.0001 ***
511463 0.964  0.0001 ***
306270 0.963  0.0026 ** 
107880 0.962  0.0001 ***
70346  0.962  0.0032 ** 
351161 0.961  0.0034 ** 
581965 0.961  0.0016 ** 
315609 0.960  0.0001 ***
252325 0.960  0.0003 ***
114901 0.958  0.0007 ***
581541 0.958  0.0005 ***
105792 0.957  0.0001 ***
553113 0.957  0.0001 ***
319505 0.955  0.0200 *  
72406  0.954  0.0001 ***
261931 0.954  0.0011 ** 
73191  0.953  0.0008 ***
551424 0.950  0.0027 ** 
300187 0.950  0.0003 ***
41200  0.949  0.0003 ***
250010 0.949  0.0003 ***
337173 0.945  0.0001 ***
147648 0.945  0.0020 ** 
228077 0.944  0.0005 ***
241123 0.938  0.0018 ** 
542011 0.938  0.0061 ** 
7173   0.937  0.0002 ***
552978 0.936  0.0013 ** 
190926 0.935  0.0036 ** 
584580 0.932  0.0043 ** 
222729 0.932  0.0006 ***
332569 0.932  0.0003 ***
235904 0.930  0.0014 ** 
194785 0.929  0.0001 ***
20976  0.929  0.0003 ***
251263 0.928  0.0016 ** 
327583 0.928  0.0002 ***
540329 0.926  0.0011 ** 
254579 0.924  0.0023 ** 
151254 0.916  0.0014 ** 
565413 0.914  0.0034 ** 
264040 0.913  0.0005 ***
161177 0.909  0.0030 ** 
190663 0.907  0.0022 ** 
217417 0.907  0.0005 ***
407742 0.905  0.0002 ***
323190 0.903  0.0010 ***
263929 0.902  0.0012 ** 
99150  0.899  0.0030 ** 
263950 0.898  0.0301 *  
215846 0.894  0.0009 ***
88155  0.894  0.0009 ***
107995 0.894  0.0014 ** 
546434 0.894  0.0009 ***
170130 0.894  0.0009 ***
589010 0.894  0.0009 ***
234053 0.894  0.0009 ***
150739 0.894  0.0009 ***
224259 0.894  0.0009 ***
567753 0.894  0.0009 ***
62986  0.894  0.0009 ***
511659 0.894  0.0009 ***
110215 0.894  0.0009 ***
156986 0.894  0.0009 ***
32333  0.894  0.0009 ***
591654 0.894  0.0009 ***
511230 0.894  0.0009 ***
49295  0.894  0.0009 ***
320231 0.894  0.0009 ***
518407 0.894  0.0009 ***
176843 0.894  0.0009 ***
577085 0.894  0.0009 ***
508075 0.894  0.0009 ***
205961 0.894  0.0009 ***
528336 0.894  0.0009 ***
245652 0.894  0.0009 ***
529964 0.894  0.0009 ***
76099  0.894  0.0009 ***
1736   0.894  0.0009 ***
102890 0.894  0.0014 ** 
241839 0.894  0.0009 ***
314228 0.894  0.0009 ***
50882  0.894  0.0009 ***
278198 0.894  0.0009 ***
589390 0.894  0.0009 ***
225695 0.893  0.0041 ** 
83959  0.893  0.0030 ** 
570886 0.893  0.0024 ** 
233592 0.893  0.0035 ** 
250277 0.892  0.0006 ***
170662 0.892  0.0024 ** 
232064 0.892  0.0024 ** 
104157 0.892  0.0024 ** 
184224 0.892  0.0024 ** 
260455 0.891  0.0024 ** 
351708 0.891  0.0059 ** 
204943 0.891  0.0024 ** 
230544 0.891  0.0024 ** 
52484  0.891  0.0024 ** 
89676  0.891  0.0024 ** 
534533 0.891  0.0042 ** 
152799 0.891  0.0041 ** 
149144 0.891  0.0024 ** 
226363 0.891  0.0059 ** 
64550  0.891  0.0108 *  
552734 0.891  0.0024 ** 
589642 0.891  0.0027 ** 
206278 0.891  0.0066 ** 
282165 0.890  0.0024 ** 
534587 0.890  0.0042 ** 
555305 0.890  0.0025 ** 
228372 0.890  0.0020 ** 
149135 0.890  0.0041 ** 
150612 0.890  0.0042 ** 
513763 0.890  0.0043 ** 
11431  0.890  0.0011 ** 
154329 0.890  0.0039 ** 
551656 0.890  0.0024 ** 
233334 0.889  0.0073 ** 
211941 0.889  0.0041 ** 
38828  0.889  0.0022 ** 
217198 0.889  0.0041 ** 
337082 0.889  0.0036 ** 
222747 0.889  0.0019 ** 
590108 0.889  0.0039 ** 
285668 0.889  0.0043 ** 
202514 0.889  0.0043 ** 
248041 0.889  0.0023 ** 
229376 0.889  0.0042 ** 
304435 0.888  0.0036 ** 
94574  0.888  0.0087 ** 
152323 0.888  0.0027 ** 
239593 0.888  0.0064 ** 
585431 0.888  0.0018 ** 
586380 0.888  0.0042 ** 
567353 0.888  0.0042 ** 
583211 0.888  0.0024 ** 
535000 0.888  0.0044 ** 
144091 0.888  0.0042 ** 
161965 0.888  0.0041 ** 
162776 0.888  0.0043 ** 
214210 0.887  0.0072 ** 
222261 0.887  0.0042 ** 
544483 0.887  0.0065 ** 
29387  0.887  0.0042 ** 
556878 0.887  0.0022 ** 
168042 0.887  0.0062 ** 
131019 0.887  0.0027 ** 
267008 0.886  0.0041 ** 
581900 0.886  0.0037 ** 
205808 0.886  0.0056 ** 
74685  0.886  0.0030 ** 
546058 0.886  0.0008 ***
137061 0.886  0.0024 ** 
210067 0.886  0.0064 ** 
556025 0.885  0.0041 ** 
104294 0.885  0.0060 ** 
246371 0.885  0.0073 ** 
234490 0.885  0.0066 ** 
224900 0.885  0.0023 ** 
154318 0.885  0.0065 ** 
575472 0.885  0.0065 ** 
143875 0.885  0.0009 ***
141618 0.885  0.0138 *  
573582 0.885  0.0067 ** 
269542 0.884  0.0045 ** 
512264 0.884  0.0062 ** 
133542 0.884  0.0074 ** 
134526 0.884  0.0042 ** 
202769 0.884  0.0021 ** 
166838 0.884  0.0008 ***
278390 0.884  0.0060 ** 
548160 0.883  0.0132 *  
511916 0.883  0.0119 *  
105005 0.883  0.0066 ** 
104555 0.882  0.0040 ** 
282750 0.882  0.0042 ** 
224998 0.881  0.0123 *  
94840  0.880  0.0084 ** 
17679  0.880  0.0042 ** 
