from	to	weight	sign
Rothia	Rothia.1	0.110427863982122	positive
Rothia	Rothia.2	0.503027769814432	positive
Rothia.1	Fusobacterium	0.221399290609779	positive
Rothia.1	Capnocytophaga	0.149435616765048	positive
Rothia.2	Campylobacter.4	0.261900435848563	positive
Rothia.2	Haemophilus	0.17587746860629	positive
Rothia.2	Prevotella	0.127547566244051	positive
Rothia.2	Prevotella.4	0.102685379518716	positive
Corynebacterium.7	Corynebacterium.8	0.394481608665617	positive
Corynebacterium.7	Acinetobacter.5	0.0132107294106183	positive
Corynebacterium.7	Capnocytophaga	0.368847761413133	positive
Corynebacterium.8	Klebsiella	0.0229568994523263	positive
Mycobacterium	Methylibium.1	0.066645264202436	positive
Mycobacterium	Rhodoplanes	0.302291137291528	positive
Bifidobacterium.1	Erwinia.1	0.000959593037964557	positive
Bifidobacterium.1	Bacteroides.1	0.258058491588059	positive
Bifidobacterium.1	Bacteroides.2	0.129129814226004	positive
Leptotrichia	Fusobacterium	0.499982311827644	positive
Leptotrichia	Capnocytophaga	0.0744669399569307	positive
Leptotrichia	Prevotella	0.110110505986633	positive
Fusobacterium	Actinobacillus	0.0365149712660245	positive
Dolichospermum	Limnohabitans	0.235279087277103	positive
Dolichospermum	Klebsiella	0.00915627791556284	negative
Prochlorococcus	CandidatusPelagibacter	0.470879642084327	positive
Prochlorococcus	Prevotella.2	0.158129379212768	negative
Campylobacter.4	Haemophilus	0.0650416963784456	positive
Campylobacter.4	Prevotella.4	0.395905860712351	positive
Neisseria.1	Kingella	0.49988699447261	positive
Kingella	Actinobacillus	0.0106226498152251	positive
Methylotenera	Methylibium.1	0.409941452112738	positive
Limnohabitans	Methylibium	0.0194750506769794	positive
Limnohabitans	Flavobacterium	0.420206770754708	positive
Methylibium	Methylibium.1	0.428810866433872	positive
Methylibium	Rhodoplanes	0.0150352186622306	positive
Methylibium.1	Crenothrix	0.158162582735033	positive
Actinobacillus	Haemophilus	0.515084995749046	positive
Actinobacillus	Prevotella.2	0.0640719066037336	positive
Morganella	Providencia	0.425826820115245	positive
Morganella	Erwinia.1	0.278296507900496	positive
Providencia	Bacteroides.2	0.404549196051302	positive
Klebsiella	Pseudomonas.4	0.258394406252876	positive
Klebsiella	Sphingomonas	0.0437360373656955	positive
Acinetobacter.5	Pseudomonas.4	0.106783469498663	positive
Acinetobacter.5	Sphingomonas	0.210775108367964	positive
Acinetobacter.5	Sphingomonas.1	0.027996368597905	positive
Acinetobacter.5	Bacteroides.2	0.0157031809690183	negative
CandidatusPortiera	HTCC	0.317797723309011	positive
CandidatusPortiera	CandidatusPelagibacter.1	0.490247248900547	positive
CandidatusPortiera	Polaribacter	0.243884795458844	positive
HTCC	Crenothrix.1	0.0697875921745851	positive
HTCC	Polaribacter	0.0241985133739759	positive
Pseudomonas.4	Sphingomonas	0.432092042620313	positive
Crenothrix	Geobacter	0.309564151783048	positive
Crenothrix	Prevotella.2	0.114061765780036	negative
Crenothrix.1	Geobacter	0.409641152484603	positive
CandidatusPelagibacter	Fluviicola	0.36546022680184	positive
Rhodoplanes	Geobacter	0.201101833051748	positive
Sphingomonas	Sphingomonas.1	0.0405735412044435	positive
Sphingomonas.1	Polaribacter	0.25754074507249	positive
Fluviicola	Prevotella.2	0.0375863693905306	negative
Bacteroides.1	Bacteroides.3	0.479142603315623	positive
Bacteroides.1	Alistipes	0.0288110888896457	positive
Bacteroides.2	Bacteroides.5	0.477016628371224	positive
Bacteroides.3	Bacteroides.9	0.0956723431865494	positive
Bacteroides.3	Alistipes	0.221585627008242	positive
Bacteroides.3	Alistipes.1	0.505629732049752	positive
Prevotella	Prevotella.4	0.217867418511664	positive
Bacteroides.9	Alistipes	0.366669806972305	positive
