tax_id	species	genus	family	order	class	phylum	superkingdom
549322	NA	NA	NA	NA	Thermoprotei	Crenarchaeota	Archaea
46043	NA	NA	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
540305	NA	NA	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
321018	NA	NA	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
155526	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
197473	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
315545	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
348549	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
108964	pIVWA5	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
568724	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
175045	NA	Nitrosopumilus	Cenarchaeaceae	Cenarchaeales	Thaumarchaeota	Crenarchaeota	Archaea
71074	SCA1145	CandidatusNitrososphaera	Nitrososphaeraceae	Nitrososphaerales	Thaumarchaeota	Crenarchaeota	Archaea
142115	NA	NA	NA	NA	NA	Crenarchaeota	Archaea
238793	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
515691	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
525464	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
455926	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
246371	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
254458	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
245697	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
45742	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
251993	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
462098	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
570593	NA	NA	NA	pGrfC26	C2	Crenarchaeota	Archaea
104332	NA	NA	NA	NA	pMC2A209	Crenarchaeota	Archaea
200619	NA	NA	NA	NA	pMC2A209	Crenarchaeota	Archaea
236606	NA	Methanosaeta	Methanosaetaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
248224	NA	CandidatusMethanoregula	NA	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
146124	NA	NA	MarinegroupIII	E2	Thermoplasmata	Euryarchaeota	Archaea
62881	NA	NA	WCHD3-02	E2	Thermoplasmata	Euryarchaeota	Archaea
329648	NA	NA	WCHD3-02	E2	Thermoplasmata	Euryarchaeota	Archaea
547371	NA	NA	WCHD3-02	E2	Thermoplasmata	Euryarchaeota	Archaea
140729	NA	NA	WCHD3-02	E2	Thermoplasmata	Euryarchaeota	Archaea
319002	NA	NA	pMC2A33	E2	Thermoplasmata	Euryarchaeota	Archaea
219191	NA	NA	pMC2A33	E2	Thermoplasmata	Euryarchaeota	Archaea
410763	NA	NA	pMC2A33	E2	Thermoplasmata	Euryarchaeota	Archaea
412056	NA	NA	pMC2A33	E2	Thermoplasmata	Euryarchaeota	Archaea
250392	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
308755	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
255494	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
146866	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
155847	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
715	NA	NA	MarinegroupII	E2	Thermoplasmata	Euryarchaeota	Archaea
79	Methanobacteriumbryantii	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
77878	NA	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
101553	Methanobacteriumbeijingense	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
134	NA	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
227785	Methanobrevibactersmithii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
228569	NA	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
246686	NA	NA	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
368907	Propionibacteriumacnes	Propionibacterium	Propionibacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
263308	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
586825	NA	NA	Nocardioidaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
